id,type
AFP,0
Alanyali,0
AP,0
Augstein,0
Balkenborg,0
Bangel,0
Baniotopoulou,0
Bartsch,0
Baumgaertel,0
Bayer,0
Beisel,0
Berg,0
Biazza,0
Biringer,0
Boehme,0
Borcholte,0
Bota,0
Brug,0
Buss,0
ces,0
Chervel,0
Daub,0
Dell,0
Diez,0
doer,0
Doerr,0
dpa,0
ds,0
Feldman,0
Fendel,0
fin,0
Frank,0
Gasteiger,0
Gatzke,0
Gerhardt,0
Grasshoff,0
Greven,0
Groll,0
Gross,0
Haberkorn,0
Haeming,0
Hans,0
Haratischwili,0
Havertz,0
Hecht,0
Heine,0
Hengstenberg,0
Hermsmeier,0
Hildebrand,0
Hirsch,0
Hoebel,0
Horn,0
Hugendick,0
Husmann,0
Ippolito,0
ith,0
Jager-Bowler,0
Janker,0
Janssen,0
Johnson,0
Kaever,0
Koeppe,0
Kray,0
Kreye,0
Kuchler,0
Kuemmel,0
Kueppersbusch,0
Kueveler,0
Kullmann,0
Kurianowicz,0
Lorch,0
Markwardt,0
Mattheiß,0
Mayer,0
Mayer_Cw,0
Meister,0
Metzger,0
Miller,0
Moeller,0
Mueller,0
nidi,0
Overbeck,0
Padtberg,0
Peitz,0
Pilarczyk,0
Pilz,0
Pitzke,0
Preciado,0
Ringel,0
Rodek,0
Rosales,0
Rueckert,0
Ruehle,0
Schaschek,0
Schmeis,0
Schmieder,0
Schmoll,0
Schrupp,0
Schulz,0
Schuster,0
Schweizerhof,0
Sebastian,0
Simons,0
Slimani,0
Steinhart,0
Steinitz,0
Sterneborg,0
Sterngast,0
Stokowski,0
Stroebele,0
tba,0
Thoene,0
Thoer,0
Tietke,0
Tlusty,0
Vahabzadeh,0
Vahland,0
Voecklinghaus,0
von_Roenne,0
vwe,0
Weihser,0
Wolff,0
Wuerfel,0
Yaghoobifarah,0
Zekri,0
Zielcke,0
ZON,0
Kultur,1